iteration,train_loss,val_loss,acc,val_acc
0,2.347961664199829,45.012522776415395,0.109375,0.1003
100,1.9724497401714325,1.7860322127676314,0.27078125,0.3487
200,1.656584471464157,1.7043097307727595,0.3828125,0.4206
300,1.4513267707824706,1.4170109694171105,0.46515625,0.4915
400,1.3346835148334504,1.4064831710924768,0.515625,0.5205
500,1.2174388718605043,1.291941776397122,0.56078125,0.5401
600,1.1338179111480713,1.5465664962294754,0.5921875,0.5051
700,1.0892954766750336,1.2473359020652286,0.60921875,0.5604
800,1.037473726272583,1.2071800869741258,0.631926952141058,0.5833
900,0.9871515667438507,1.0887637187720864,0.6521875,0.6279
1000,0.9439978849887848,1.247600312825221,0.66078125,0.5862
1100,0.9147869938611984,1.0247847479619798,0.6778125,0.649
1200,0.9069329684972763,1.1273758119078958,0.6771875,0.6288
1300,0.8677587056159973,1.0683868861502144,0.6965625,0.6432
1400,0.8518798971176147,0.9391963709691528,0.70046875,0.6698
1500,0.8159957882761956,0.8061295345330693,0.7103125,0.7149
1600,0.768897393643856,0.909787829324698,0.7298488664987406,0.6885
1700,0.7419957312941551,1.018446608713478,0.73828125,0.6598
1800,0.7452135905623436,0.7511269174943305,0.74609375,0.7442
1900,0.7198026517033577,1.0015693986491792,0.7475,0.6908
2000,0.6967654100060463,0.7957218934775917,0.75265625,0.7308
2100,0.6981078854203224,0.7448285671935719,0.7571875,0.7395
2200,0.6808162054419518,0.7723015926446125,0.7609375,0.7384
2300,0.66232047945261,1.0482236750566276,0.76890625,0.6713
2400,0.636102913916111,0.8672018508622601,0.7824307304785895,0.7302
2500,0.6153430178761482,0.8861835255364704,0.7853125,0.7142
2600,0.6184512269496918,0.9083383789487706,0.78421875,0.7163
2700,0.6121798843145371,0.7103571593761444,0.78671875,0.7638
2800,0.6248659655451775,0.737856923205078,0.78203125,0.7474
2900,0.5833158957958221,0.7040033387910029,0.798125,0.7704
3000,0.5626278328895569,0.7045646454118619,0.8059375,0.7622
